id,name,urban_rural,population
015541001,Agat,Urban,1284
015541002,Alibeng,Urban,1402
015541003,Amagbagan,Urban,710
015541004,Artacho,Urban,1097
015541005,Asan Norte,Urban,2191
015541006,Asan Sur,Urban,2678
015541007,Bantay Insik,Urban,1345
015541008,Bila,Rural,1524
015541009,Binmeckeg,Urban,1587
015541010,Bulaoen East,Urban,902
015541011,Bulaoen West,Urban,1000
015541012,Cabaritan,Urban,1547
015541013,Calunetan,Urban,824
015541014,Camangaan,Urban,1021
015541015,Cauringan,Rural,1509
015541016,Dungon,Rural,1450
015541017,Esperanza,Urban,1861
015541018,Killo,Urban,1618
015541019,Labayug,Urban,2821
015541021,Paldit,Urban,3630
015541022,Pindangan,Urban,1416
015541023,Pinmilapil,Rural,1614
015541024,Poblacion Central,Urban,1478
015541025,Poblacion Norte,Urban,1987
015541026,Poblacion Sur,Urban,1118
015541027,Sagunto,Urban,1916
015541028,Inmalog,Urban,1244
015541029,Tara-tara,Urban,1205
