id,name,urban_rural,population
015504001,Anulid,Urban,2270
015504003,Atainan,Urban,1384
015504004,Bersamin,Urban,3277
015504005,Canarvacanan,Urban,1691
015504006,Caranglaan,Rural,1082
015504007,Curareng,Urban,576
015504008,Gualsic,Rural,1372
015504009,Kasikis,Urban,2614
015504010,Laoac,Rural,2906
015504011,Macayo,Urban,1714
015504012,Pindangan Centro,Urban,1657
015504013,Pindangan East,Urban,1661
015504014,Pindangan West,Urban,1220
015504015,Poblacion East,Urban,1438
015504016,Poblacion West,Urban,1643
015504017,San Juan,Urban,1932
015504018,San Nicolas,Urban,1112
015504019,San Pedro Apartado,Urban,3484
015504020,San Pedro IlI,Urban,3063
015504021,San Vicente,Urban,3957
015504022,Vacante,Urban,1024
