id,name,urban_rural,population
015545001,Angatel,Rural,2567
015545002,Balangay,Rural,1383
015545003,Batangcaoa,Rural,1664
015545004,Baug,Rural,1492
015545005,Bayaoas,Rural,3834
015545006,Bituag,Rural,1816
015545007,Camambugan,Rural,1317
015545008,Dalangiring,Rural,5683
015545009,Duplac,Rural,1098
015545010,Galarin,Urban,2064
015545011,Gueteb,Rural,1643
015545012,Malaca,Urban,1283
015545013,Malayo,Rural,1681
015545014,Malibong,Rural,2665
015545015,Pasibi East,Urban,2443
015545016,Pasibi West,Rural,1177
015545017,Pisuac,Rural,2885
015545018,Poblacion,Urban,4906
015545019,Real,Rural,2608
015545020,Salavante,Rural,855
015545021,Sawat,Urban,2767
