id,name,urban_rural,population
083710001,Abuyogon,Rural,825
083710002,Anonang,Rural,826
083710003,Arado,Rural,1293
083710004,Balao,Rural,512
083710005,Balatson,Rural,186
083710006,Balorinay,Rural,766
083710007,Bobon,Rural,352
083710008,Buenavista,Rural,215
083710009,Buri,Rural,718
083710010,Caanislagan,Rural,314
083710011,Cadahunan,Rural,303
083710012,Cagangon,Rural,656
083710013,Cali,Rural,267
083710014,Calsadahay,Rural,366
083710015,Candag-on,Rural,400
083710016,Cansiboy,Rural,649
083710017,Catagbacan,Rural,713
083710018,Poblacion District I,Urban,1526
083710019,Poblacion District II,Urban,1601
083710020,Poblacion District III,Rural,2483
083710021,Poblacion District IV,Rural,1958
083710022,Poblacion District V,Rural,715
083710023,Poblacion District VI,Rural,2047
083710024,Poblacion District VII,Urban,1026
083710025,Poblacion District VIII,Rural,890
083710026,Poblacion District IX,Rural,2180
083710027,Dumalag (Pusod),Rural,337
083710028,Ilihan,Rural,206
083710029,Esperanza,Rural,494
083710030,Gitablan,Rural,155
083710031,Hapunan,Rural,409
083710032,Hibonawan,Rural,502
083710033,Hugpa East,Rural,262
083710034,Hugpa West,Rural,461
083710035,Kalao,Rural,408
083710036,Kaparasanan,Rural,254
083710037,Laguiwan,Rural,205
083710038,Libas,Rural,1356
083710039,Limburan,Rural,579
083710040,Logsongan,Rural,409
083710041,Maabab,Rural,743
083710042,Maghubas,Rural,800
083710043,Mahagnao,Rural,753
083710044,Malabca,Rural,1057
083710045,Malaguinabot,Rural,516
083710046,Malaihao (San Ramon),Rural,509
083710047,Matin-ao,Rural,362
083710048,Moguing,Rural,452
083710049,Paghudlan,Rural,630
083710050,Paitan,Rural,337
083710051,Pangdan,Rural,668
083710052,Patag,Rural,418
083710053,Patong,Rural,604
083710054,Pawa,Rural,241
083710056,Roxas,Rural,439
083710057,Sambel,Rural,309
083710058,San Esteban,Rural,742
083710059,San Fernando,Rural,225
083710061,San Jose East,Rural,720
083710062,San Jose West,Rural,752
083710063,San Pablo,Rural,780
083710064,Tabuanon,Rural,527
083710065,Tagadtaran,Rural,546
083710066,Taghuyan,Rural,220
083710067,Takin,Rural,422
083710068,Tambis (Naboya),Rural,407
083710070,Toloyao,Rural,375
083710071,Villa Aurora,Rural,651
083710072,Villa Corazon,Rural,481
083710073,Villa Patria,Rural,428
083710074,Villa Rosas (Cabang),Rural,708
083710075,Kagbana,Rural,251
083710076,Damulo-an,Rural,238
083710077,Dina-ayan,Rural,400
083710078,Gamay,Rural,380
083710079,Kalipayan,Rural,386
083710080,Tambuko,Rural,552
