id,name,urban_rural,population
083736001,Binabaye,Rural,840
083736002,Cabaliwan,Rural,903
083736003,Calunangan,Rural,1020
083736004,Calunasan,Rural,734
083736005,Cambalong,Rural,801
083736007,Can-unzo,Rural,947
083736008,Canbantug,Rural,1009
083736009,Casilda,Rural,1911
083736010,Lamanoc,Rural,1931
083736011,Libas,Rural,2164
083736012,Libjo,Rural,1337
083736013,Lundag,Rural,638
083736014,Mahalit,Rural,1216
083736015,Mahayag,Rural,656
083736016,Masumbang,Rural,637
083736017,Poblacion,Urban,3881
083736018,Puerto Bello,Rural,3436
083736019,San Isidro,Rural,729
083736020,San Jose,Rural,490
083736021,Macario,Rural,933
083736022,Tubod,Rural,462
083736023,Mat-e,Rural,549
