id,name,urban_rural,population
083703001,Antipolo,Rural,899
083703002,Balugo,Rural,4191
083703003,Benolho,Rural,1954
083703004,Cambalading,Rural,2120
083703005,Damula-an,Rural,3355
083703006,Doña Maria (Kangkuirina),Rural,1095
083703008,Mahayag,Rural,1071
083703009,Mahayahay,Rural,1374
083703010,Poblacion,Urban,8524
083703011,Salvacion,Rural,628
083703012,San Pedro,Rural,3290
083703013,Seguinon,Rural,1916
083703014,Sherwood,Rural,2049
083703015,Tabgas,Rural,2849
083703016,Talisayan,Rural,2546
083703017,Tinag-an,Rural,2692
