id,name,urban_rural,population
104204001,Bonifacio,Rural,734
104204002,Bunawan,Rural,1346
104204003,Calaran,Rural,1091
104204004,Dapacan Alto,Rural,1005
104204005,Dapacan Bajo,Rural,604
104204006,Langub,Rural,1437
104204007,Libertad,Rural,345
104204008,Magcamiguing,Rural,1031
104204009,Mamalad,Rural,470
104204010,Mauswagon,Rural,568
104204011,Northern Poblacion,Rural,1174
104204012,Salvador,Rural,519
104204013,San Isidro (San Isidro-San Pedro),Rural,441
104204014,Siloy,Rural,615
104204015,Singalat,Rural,233
104204016,Solinog,Rural,2166
104204017,Southwestern Poblacion,Urban,2983
104204018,Sulipat,Rural,788
104204019,Don Bernardo Nery Pob. (Tres de Mayo),Urban,3455
