id,name,urban_rural,population
166805002,Bugsukan,Rural,611
166805003,Buntalid,Rural,1226
166805004,Cabangahan,Rural,1031
166805005,Cabas-an,Rural,1078
166805006,Calagdaan,Rural,1822
166805007,Consuelo,Rural,1360
166805008,General Island,Rural,950
166805009,Lininti-an (Pob.),Urban,4489
166805010,Magasang,Rural,1207
166805011,Magosilom (Pob.),Urban,5090
166805012,Pag-Antayan,Rural,2266
166805013,Palasao,Rural,1168
166805014,Parang,Rural,3535
166805015,Tapi,Rural,626
166805016,Tigabong,Rural,887
166805017,Lobo,Rural,626
166805018,San Pedro,Rural,2259
