id,name,urban_rural,population
160314001,Afga,Rural,3151
160314002,Anahawan,Rural,639
160314003,Banagbanag,Rural,719
160314004,Del Rosario,Rural,284
160314005,El Rio,Rural,1443
160314006,Ilihan,Rural,1087
160314007,Kauswagan,Rural,378
160314008,Kioya,Rural,651
160314009,Magkalape,Rural,264
160314010,Magsaysay,Rural,934
160314011,Mahayahay,Rural,1429
160314012,New Tubigon,Rural,1099
160314013,Padiay,Rural,1573
160314014,Perez,Rural,1055
160314015,Poblacion,Urban,5875
160314016,San Isidro,Rural,955
160314017,San Vicente,Rural,1087
160314018,Santa Cruz,Rural,492
160314019,Santa Maria,Rural,704
160314020,Sinai,Rural,621
160314021,Tabon-tabon,Rural,2943
160314022,Tag-uyango,Rural,644
160314023,Villangit,Rural,977
160314024,Kolambugan,Rural,1981
