id,name,urban_rural,population
175212001,Bagumbayan (Pob.),Urban,6322
175212002,Cantil,Urban,3570
175212003,Dangay,Rural,3495
175212004,Happy Valley,Rural,1217
175212005,Libertad,Rural,1547
175212006,Libtong,Rural,2085
175212007,Mabuhay,Rural,1249
175212008,Maraska,Rural,482
175212009,Odiong,Urban,3309
175212010,Paclasan (Pob.),Urban,4950
175212011,San Aquilino,Rural,3093
175212012,San Isidro,Rural,1974
175212013,San Jose,Rural,2652
175212014,San Mariano,Rural,4301
175212015,San Miguel,Rural,1209
175212016,San Rafael,Rural,1566
175212017,San Vicente,Rural,3176
175212018,Uyao,Rural,798
175212019,Victoria,Rural,1945
175212020,Little Tanauan,Rural,914
