id,name,urban_rural,population
031415001,Bagbaguin,Urban,2264 
031415002,Bagong Barrio,Urban,5902 
031415003,Bunsuran III,Urban,2570 
031415004,Bunsuran I,Urban,4831 
031415005,Bunsuran II,Urban,3375 
031415006,Cacarong Bata,Urban,1328 
031415007,Cacarong Matanda,Urban,2173 
031415008,Cupang,Urban,1996 
031415009,Malibong Bata,Urban,2271 
031415010,Malibong Matanda,Urban,5641 
031415011,Manatal,Urban,3095 
031415012,Mapulang Lupa,Urban,2491 
031415013,Masagana,Urban,2212 
031415014,Masuso,Urban,3228 
031415015,Pinagkuartelan,Urban,3691 
031415016,Poblacion,Urban,8126 
031415017,Real de Cacarong,Urban,725 
031415018,San Roque,Urban,2573 
031415019,Siling Bata,Urban,2407 
031415020,Siling Matanda,Urban,3378 
031415021,Baka-bakahan,Urban,817 
031415022,Santo Niño,Urban,1556 
