id,name,urban_rural,population
031420001,Bagong Buhay,Urban,6698 
031420002,Dulong Bayan,Urban,6292 
031420003,Gaya-gaya,Urban,13727 
031420004,Kaypian,Urban,25614 
031420005,Kaybanban,Urban,2371 
031420006,Minuyan,Urban,2861 
031420007,Muzon,Urban,81947 
031420008,Poblacion,Urban,2118 
031420009,Santo Cristo,Urban,29327 
031420010,Sapang Palay,Urban,4894 
031420011,Tungkong Mangga,Urban,10260 
031420012,Citrus,Urban,20882 
031420013,San Martin,Urban,3757 
031420014,Santa Cruz,Urban,2711 
031420015,Fatima,Urban,3070 
031420016,San Pedro,Urban,13866 
031420017,San Rafael,Urban,7782 
031420018,Santo Niño,Urban,2582 
031420019,Assumption,Urban,4291 
031420020,Bagong Buhay II,Urban,4009 
031420021,Bagong Buhay III,Urban,5388 
031420022,Ciudad Real,Urban,2338 
031420023,Fatima II,Urban,1707 
031420024,Fatima III,Urban,1650 
031420025,Fatima IV,Urban,1974 
031420026,Fatima V,Urban,2407 
031420027,Francisco Homes-Guijo,Urban,5815 
031420028,Francisco Homes-Mulawin,Urban,10453 
031420029,Francisco Homes-Narra,Urban,6917 
031420030,Francisco Homes-Yakal,Urban,3167 
031420031,Graceville,Urban,28563 
031420032,Gumaoc Central,Urban,3392 
031420033,Gumaoc East,Urban,4533 
031420034,Gumaoc West,Urban,6915 
031420035,Lawang Pari,Urban,3949 
031420036,Maharlika,Urban,3127 
031420037,Minuyan II,Urban,5360 
031420038,Minuyan III,Urban,2703 
031420039,Minuyan IV,Urban,3979 
031420040,Minuyan V,Urban,2215 
031420041,Minuyan Proper,Urban,33928 
031420042,Paradise III,Urban,3420 
031420043,Poblacion I,Urban,4254 
031420044,San Isidro,Urban,2370 
031420045,San Manuel,Urban,12241 
031420046,San Martin II,Urban,3336 
031420047,San Martin III,Urban,3041 
031420048,San Martin IV,Urban,3592 
031420049,San Rafael I,Urban,3107 
031420050,San Rafael III,Urban,2908 
031420051,San Rafael IV,Urban,5257 
031420052,San Rafael V,Urban,2807 
031420053,San Roque,Urban,1617 
031420054,Santa Cruz II,Urban,3078 
031420055,Santa Cruz III,Urban,2440 
031420056,Santa Cruz IV,Urban,3011 
031420057,Santa Cruz V,Urban,3500 
031420058,Santo Niño II,Urban,2808 
031420059,St. Martin de Porres,Urban,2227 
