id,name,urban_rural,population
112314001,Cabidianan,Rural,1485
112314002,Carcor,Rural,1455
112314003,Del Monte,Rural,1027
112314004,Del Pilar,Rural,4156
112314005,El Salvador,Rural,1037
112314006,Limba-an,Rural,5145
112314007,Macgum,Rural,1763
112314008,Mambing,Rural,1686
112314009,Mesaoy,Rural,7936
112314010,New Bohol,Rural,1745
112314011,New Cortez,Rural,2472
112314012,New Sambog,Rural,903
112314013,Patrocenio,Rural,1182
112314014,Poblacion,Urban,8768
112314015,San Roque,Rural,2933
112314016,Santa Cruz,Rural,1272
112314017,Santa Fe,Rural,1634
112314018,Santo Niño,Rural,1134
112314019,Suawon,Rural,1836
112314020,San Jose,Rural,1130
