id,name
153601000,BACOLOD-KALAWI (BACOLOD GRANDE)
153602000,BALABAGAN
153603000,BALINDONG (WATU)
153604000,BAYANG
153605000,BINIDAYAN
153606000,BUBONG
153607000,BUTIG
153609000,GANASSI
153610000,KAPAI
153611000,LUMBA-BAYABAO (MAGUING)
153612000,LUMBATAN
153613000,MADALUM
153614000,MADAMBA
153615000,MALABANG
153616000,MARANTAO
153618000,MASIU
153619000,MULONDO
153620000,PAGAYAWAN (TATARIKAN)
153621000,PIAGAPO
153622000,POONA BAYABAO (GATA)
153623000,PUALAS
153624000,DITSAAN-RAMAIN
153625000,SAGUIARAN
153626000,TAMPARAN
153627000,TARAKA
153628000,TUBARAN
153629000,TUGAYA
153630000,WAO
153631000,MAROGONG
153632000,CALANOGAS
153633000,BUADIPOSO-BUNTONG
153634000,MAGUING
153635000,PICONG (SULTAN GUMANDER)
153636000,LUMBAYANAGUE
153637000,BUMBARAN
153638000,TAGOLOAN II
153639000,KAPATAGAN
153640000,SULTAN DUMALONDONG
153641000,LUMBACA-UNAYAN
