id,name,urban_rural,population
137607001,Tanyag (Bagong Tanyag),Urban,21161
137607002,Bagumbayan,Urban,33334
137607003,Bambang,Urban,7168
137607004,Calzada,Urban,17051
137607005,Hagonoy,Urban,17975
137607006,Ibayo-Tipas,Urban,18744
137607007,Ligid-Tipas,Urban,7868
137607008,Lower Bicutan,Urban,45641
137607009,Maharlika Village,Urban,17781
137607010,Napindan,Urban,13354
137607011,Palingon,Urban,11863
137607012,Santa Ana,Urban,14879
137607013,Central Signal Village (Signal Village),Urban,35752
137607014,Tuktukan,Urban,8113
137607015,Upper Bicutan,Urban,39005
137607016,Ususan,Urban,32223
137607017,Wawa,Urban,8420
137607018,Western Bicutan,Urban,72926
137607019,Central Bicutan,-,25514
137607020,Fort Bonifacio,-,23144
137607021,Katuparan,-,19376
137607022,New Lower Bicutan,-,34897
137607023,North Daang Hari,-,10682
137607024,North Signal Village,-,25921
137607025,Pinagsama,-,23612
137607026,San Miguel,-,6731
137607027,South Daang Hari,-,17220
137607028,South Signal Village,-,34118
