id,name,urban_rural,population
041005001,Alangilan,Urban,13332
041005003,Balagtas,Urban,9120
041005004,Balete,Urban,9098
041005006,Banaba Center,Rural,1984
041005007,Banaba Kanluran,Urban,3413
041005008,Banaba Silangan,Rural,1931
041005009,Banaba Ibaba,Rural,2023
041005010,Bilogo,Rural,1829
041005011,Maapas,Rural,208
041005012,Bolbok,Urban,11806
041005013,Bukal,Rural,2460
041005014,Calicanto,Urban,10315
041005016,Catandala,Rural,644
041005017,Concepcion,Urban,3412
041005018,Conde Itaas,Urban,1305
041005019,Conde Labak,Urban,1763
041005020,Cuta,Urban,11460
041005021,Dalig,Urban,2248
041005022,Dela Paz,Rural,2377
041005023,Dela Paz Pulot Aplaya,Rural,583
041005024,Dela Paz Pulot Itaas,Urban,419
041005026,Domoclay,Rural,3246
041005027,Dumantay,Rural,3685
041005028,Gulod Itaas,Rural,4950
041005029,Gulod Labak,Rural,2433
041005030,Haligue Kanluran,Rural,1112
041005031,Haligue Silangan,Rural,1699
041005032,Ilihan,Urban,3920
041005033,Kumba,Urban,914
041005034,Kumintang Ibaba,Urban,10134
041005035,Kumintang Ilaya,Urban,10320
041005036,Libjo,Urban,10964
041005037,"Liponpon, Isla Verde",Rural,746
041005038,Mahabang Dahilig,Rural,1430
041005039,Mahabang Parang,Rural,3267
041005040,Mahacot Silangan,Urban,680
041005041,Mahacot Kanluran,Rural,600
041005042,Malalim,Rural,1190
041005043,Malibayo,Rural,461
041005044,Malitam,Urban,6686
041005045,Maruclap,Rural,957
041005046,Mabacong (Matoco),Rural,1873
041005047,Pagkilatan,Rural,1321
041005048,Paharang Kanluran,Rural,1314
041005049,Paharang Silangan,Urban,1222
041005050,Pallocan Silangan,Rural,2026
041005051,Pallocan Kanluran,Rural,6259
041005052,Pinamucan,Rural,3607
041005053,Pinamucan Ibaba,Rural,1410
041005054,Pinamucan Silangan,Rural,1125
041005055,Barangay 1 (Pob.),Urban,706
041005056,Barangay 10 (Pob.),Urban,353
041005057,Barangay 11 (Pob.),Urban,768
041005058,Barangay 12 (Pob.),Urban,1377
041005059,Barangay 13 (Pob.),Urban,509
041005060,Barangay 14 (Pob.),Urban,294
041005061,Barangay 15 (Pob.),Urban,170
041005062,Barangay 16 (Pob.),Urban,197
041005063,Barangay 17 (Pob.),Urban,104
041005064,Barangay 18 (Pob.),Urban,382
041005065,Barangay 19 (Pob.),Urban,955
041005066,Barangay 2 (Pob.),Urban,606
041005067,Barangay 20 (Pob.),Urban,344
041005068,Barangay 21 (Pob.),Urban,664
041005069,Barangay 22 (Pob.),Urban,234
041005070,Barangay 23 (Pob.),Urban,635
041005071,Barangay 24 (Pob.),Urban,2877
041005072,Barangay 3 (Pob.),Urban,367
041005073,Barangay 4 (Pob.),Urban,1499
041005074,Barangay 5 (Pob.),Urban,634
041005075,Barangay 6 (Pob.),Urban,2009
041005076,Barangay 7 (Pob.),Urban,715
041005077,Barangay 8 (Pob.),Urban,577
041005078,Barangay 9 (Pob.),Urban,283
041005082,Sampaga,Rural,3980
041005083,"San Agapito, Isla Verde",Rural,1191
041005084,"San Agustin Kanluran, Isla Verde",Rural,715
041005085,"San Agustin Silangan, Isla Verde",Rural,775
041005087,"San Andres, Isla Verde",Rural,972
041005088,"San Antonio, Isla Verde",Rural,1098
041005090,San Isidro,Urban,6887
041005092,San Jose Sico,Rural,4627
041005093,San Miguel,Rural,2247
041005094,San Pedro,Urban,1510
041005095,Santa Clara,Urban,10584
041005096,Santa Rita Aplaya,Rural,2281
041005097,Santa Rita Karsada,Urban,17330
041005099,Santo Domingo,Rural,1789
041005100,Santo Niño,Rural,2520
041005101,Simlong,Rural,3800
041005102,Sirang Lupa,Urban,1369
041005103,Sorosoro Ibaba,Urban,2713
041005104,Sorosoro Ilaya,Urban,1801
041005105,Sorosoro Karsada,Urban,1764
041005106,Tabangao Aplaya (Tabangao Proper),Rural,3216
041005107,Tabangao Ambulong,Rural,4862
041005109,Tabangao Dao,Rural,2625
041005110,Talahib Pandayan,Urban,2301
041005111,Talahib Payapa,Rural,575
041005112,Talumpok Kanluran,Rural,2867
041005113,Talumpok Silangan,Rural,1845
041005114,Tinga Itaas,Rural,2801
041005115,Tinga Labak,Urban,5883
041005116,Tulo,Rural,3684
041005117,Wawa,Rural,6455
