id,name,urban_rural,population
041013002,Bagong Pook,Rural,2011
041013003,Balibago,Rural,2964
041013004,Binubusan,Rural,4061
041013005,Bungahan,Rural,3415
041013007,Cumba,Rural,1487
041013008,Humayingan,Rural,1328
041013009,Kapito,Rural,2764
041013012,Lumaniag,Rural,2114
041013013,Luyahan,Rural,2251
041013014,Malaruhatan,Rural,3322
041013015,Matabungkay,Rural,4389
041013016,Barangay 1 (Pob.),Urban,1598
041013017,Barangay 2 (Pob.),Urban,514
041013018,Barangay 3 (Pob.),Urban,1413
041013019,Barangay 4 (Pob.),Urban,1330
041013020,Barangay 5 (Pob.),Urban,1221
041013021,Prenza,Rural,4070
041013022,Puting-Kahoy,Rural,1707
041013023,San Diego,Rural,3984
