id,name,urban_rural,population
041025001,Abelo,Urban,869
041025002,Balete,Urban,1759
041025003,Baluk-baluk,Urban,804
041025004,Bancoro,Urban,2549
041025005,Bangin,Urban,1910
041025006,Calangay,Urban,1651
041025007,Hipit,Urban,571
041025009,Maabud North,Urban,982
041025010,Maabud South,Urban,682
041025011,Munlawin,Urban,774
041025012,Pansipit,Urban,422
041025013,Poblacion,Urban,2416
041025014,Santo Niño,Urban,826
041025015,Sinturisan,Urban,1710
041025016,Tagudtod,Urban,623
041025017,Talang,Urban,667
041025018,Alas-as,Urban,901
041025019,Pulang-Bato,Urban,483
