id,name,urban_rural,population
041003001,Baclaran,Rural,2220
041003003,Barangay 1 (Pob.),Urban,1938
041003004,Barangay 10 (Pob.),Urban,2845
041003005,Barangay 11 (Pob.),Urban,1321
041003006,Barangay 12 (Pob.),Urban,300
041003007,Barangay 2 (Pob.),Urban,1394
041003008,Barangay 3 (Pob.),Urban,1185
041003009,Barangay 4 (Pob.),Urban,1851
041003010,Barangay 5 (Pob.),Urban,1758
041003011,Barangay 6 (Pob.),Urban,998
041003012,Barangay 7 (Pob.),Urban,339
041003013,Barangay 8 (Pob.),Urban,2130
041003014,Barangay 9 (Pob.),Urban,1446
041003016,Calan,Rural,964
041003017,Caloocan,Urban,4888
041003018,Calzada,Rural,1416
041003019,Canda,Rural,1450
041003020,Carenahan,Rural,1030
041003021,Caybunga,Rural,841
041003022,Cayponce,Rural,1388
041003023,Dalig,Rural,3008
041003024,Dao,Rural,1445
041003025,Dilao,Rural,1442
041003026,Duhatan,Rural,1518
041003027,Durungao,Rural,937
041003028,Gimalas,Rural,1549
041003029,Gumamela,Rural,2595
041003030,Lagnas,Rural,929
041003031,Lanatan,Rural,2715
041003032,Langgangan,Rural,1194
041003033,Lucban Putol,Rural,1383
041003034,Lucban Pook,Rural,1551
041003035,Magabe,Rural,1779
041003036,Malalay,Rural,1063
041003037,Munting Tubig,Rural,1534
041003038,Navotas,Rural,3451
041003039,Patugo,Rural,1885
041003040,Palikpikan,Rural,1150
041003042,Pooc,Rural,2267
041003043,Sambat,Rural,2345
041003044,Sampaga,Rural,2386
041003045,San Juan,Rural,1738
041003046,San Piro,Rural,3377
041003048,Santol,Rural,2385
041003049,Sukol,Rural,837
041003050,Tactac,Rural,932
041003051,Taludtud,Rural,1165
041003052,Tanggoy,Rural,1543
